Valuta,Kontotype,Type,Beløp,Saldo,Dato,Referanse,Beskrivelse
NOK,"Tilgjenglig for kjøp eller uttak",Rente,5.42,5.42,"2025-08-07 09:17:32","Konventveien 35 AS - 4713",Renteinntekt
NOK,"Tilgjenglig for kjøp eller uttak",Kjøp,-292.72,0,"2025-08-05 10:59:52","Stubbbengkroken 73 AS - 4865",Tegning
NOK,"Tilgjenglig for kjøp eller uttak",Rente,5.42,292.72,"2025-08-04 08:26:05","VE Gruppen - 4820",Renteinntekt
NOK,"Tilgjenglig for kjøp eller uttak",Rente,10,287.3,"2025-08-04 08:25:59","TBGEiendom AS - 4742",Renteinntekt
NOK,"Tilgjenglig for kjøp eller uttak",Rente,10,277.3,"2025-08-04 08:25:40","TBGEiendom AS - 4683",Renteinntekt
NOK,"Tilgjenglig for kjøp eller uttak",Rente,21.67,267.3,"2025-07-31 16:19:34","Streng AS - 4537",Renteinntekt
NOK,"Tilgjenglig for kjøp eller uttak",Rente,5.42,245.63,"2025-07-30 09:57:37","BM Prosjekt og Utvikling AS - 4701",Renteinntekt
NOK,"Tilgjenglig for kjøp eller uttak",Rente,5,240.21,"2025-07-30 09:57:32","BM Prosjekt og Utvikling AS - 4691",Renteinntekt
NOK,"Tilgjenglig for kjøp eller uttak",Rente,10.83,235.21,"2025-07-29 12:49:34","Torggata 5 Skien AS - 4749",Renteinntekt
NOK,"Tilgjenglig for kjøp eller uttak",Rente,10.83,224.38,"2025-07-29 12:49:22","Torggata 5 Skien AS - 4727",Renteinntekt
NOK,"Tilgjenglig for kjøp eller uttak",Rente,10.83,213.55,"2025-07-29 12:48:59","Torggata 5 Skien AS - 4709",Renteinntekt
NOK,"Tilgjenglig for kjøp eller uttak",Rente,5.42,202.72,"2025-07-28 15:17:06","Atlas Eiendom AS - 4830",Renteinntekt
NOK,"Tilgjenglig for kjøp eller uttak",Rente,5.42,197.3,"2025-07-28 15:17:01","Atlas Eiendom AS - 4659",Renteinntekt
NOK,"Tilgjenglig for kjøp eller uttak",Rente,5.42,191.88,"2025-07-28 15:16:51","Atlas Eiendom AS - 4637",Renteinntekt
NOK,"Tilgjenglig for kjøp eller uttak",Rente,23.33,186.46,"2025-07-28 15:16:18","Atlas Eiendom AS - 4541",Renteinntekt
NOK,"Tilgjenglig for kjøp eller uttak",Rente,23.33,163.13,"2025-07-28 15:16:14","Atlas Eiendom AS - 4526",Renteinntekt
NOK,"Tilgjenglig for kjøp eller uttak",Rente,23.33,139.8,"2025-07-28 15:16:06","Atlas Eiendom AS - 4510",Renteinntekt
NOK,"Tilgjenglig for kjøp eller uttak",Rente,21.67,116.47,"2025-07-28 08:33:38","AEKO Eiendomsutvikling AS - 4501",Renteinntekt
NOK,"Tilgjenglig for kjøp eller uttak",Rente,15,94.8,"2025-07-28 08:33:24","Accrington AS  - 4726",Renteinntekt
NOK,"Tilgjenglig for kjøp eller uttak",Rente,20,79.8,"2025-07-28 08:33:16","Accrington AS  - 4649",Renteinntekt
NOK,"Tilgjenglig for kjøp eller uttak",Rente,15.62,59.8,"2025-07-22 19:00:59","EFA Eiendom AS - 4711",Renteinntekt
NOK,"Tilgjenglig for kjøp eller uttak",Rente,21.67,44.18,"2025-07-22 19:00:37","EFA Eiendom AS - 4628",Renteinntekt
