company,loan_id,status,duration_months,innbetalte_terminer,estimated_repaid,interest_rate,forventet_renteinntekt,netto_renteinntekt,renter_utestaaende,netto_vs_forventet_renteinntekt_prosent,tildeling,total_forventet_avkastning,tilbakebetalt,total_faktisk_avkastning,faktisk_vs_forventet_avkastning_prosent,date,transaction_type,amount_nok
EFA Eiendom AS,4451,Aktiv,18,0,2025-10-23,13.5,405.0,360.0,45.0,88.88888888888889,2000.0,2405.0,0.0,360.0,14.96881496881497,2024-04-02,Tildeling,-2000.0
EFA Eiendom AS,4451,Aktiv,18,1,2025-10-23,13.5,405.0,360.0,45.0,88.88888888888889,2000.0,2405.0,0.0,360.0,14.96881496881497,2024-04-23,Renteinntekt,22.5
EFA Eiendom AS,4451,Aktiv,18,2,2025-10-23,13.5,405.0,360.0,45.0,88.88888888888889,2000.0,2405.0,0.0,360.0,14.96881496881497,2024-05-22,Renteinntekt,22.5
EFA Eiendom AS,4451,Aktiv,18,3,2025-10-23,13.5,405.0,360.0,45.0,88.88888888888889,2000.0,2405.0,0.0,360.0,14.96881496881497,2024-06-24,Renteinntekt,22.5
EFA Eiendom AS,4451,Aktiv,18,4,2025-10-23,13.5,405.0,360.0,45.0,88.88888888888889,2000.0,2405.0,0.0,360.0,14.96881496881497,2024-07-22,Renteinntekt,22.5
EFA Eiendom AS,4451,Aktiv,18,5,2025-10-23,13.5,405.0,360.0,45.0,88.88888888888889,2000.0,2405.0,0.0,360.0,14.96881496881497,2024-08-22,Renteinntekt,22.5
EFA Eiendom AS,4451,Aktiv,18,6,2025-10-23,13.5,405.0,360.0,45.0,88.88888888888889,2000.0,2405.0,0.0,360.0,14.96881496881497,2024-09-24,Renteinntekt,22.5
EFA Eiendom AS,4451,Aktiv,18,7,2025-10-23,13.5,405.0,360.0,45.0,88.88888888888889,2000.0,2405.0,0.0,360.0,14.96881496881497,2024-10-22,Renteinntekt,22.5
EFA Eiendom AS,4451,Aktiv,18,8,2025-10-23,13.5,405.0,360.0,45.0,88.88888888888889,2000.0,2405.0,0.0,360.0,14.96881496881497,2024-11-22,Renteinntekt,22.5
EFA Eiendom AS,4451,Aktiv,18,9,2025-10-23,13.5,405.0,360.0,45.0,88.88888888888889,2000.0,2405.0,0.0,360.0,14.96881496881497,2024-12-23,Renteinntekt,22.5
EFA Eiendom AS,4451,Aktiv,18,10,2025-10-23,13.5,405.0,360.0,45.0,88.88888888888889,2000.0,2405.0,0.0,360.0,14.96881496881497,2025-01-22,Renteinntekt,22.5
EFA Eiendom AS,4451,Aktiv,18,11,2025-10-23,13.5,405.0,360.0,45.0,88.88888888888889,2000.0,2405.0,0.0,360.0,14.96881496881497,2025-02-24,Renteinntekt,22.5
EFA Eiendom AS,4451,Aktiv,18,12,2025-10-23,13.5,405.0,360.0,45.0,88.88888888888889,2000.0,2405.0,0.0,360.0,14.96881496881497,2025-03-24,Renteinntekt,22.5
EFA Eiendom AS,4451,Aktiv,18,13,2025-10-23,13.5,405.0,360.0,45.0,88.88888888888889,2000.0,2405.0,0.0,360.0,14.96881496881497,2025-04-22,Renteinntekt,22.5
EFA Eiendom AS,4451,Aktiv,18,14,2025-10-23,13.5,405.0,360.0,45.0,88.88888888888889,2000.0,2405.0,0.0,360.0,14.96881496881497,2025-05-22,Renteinntekt,22.5
EFA Eiendom AS,4451,Aktiv,18,15,2025-10-23,13.5,405.0,360.0,45.0,88.88888888888889,2000.0,2405.0,0.0,360.0,14.96881496881497,2025-06-23,Renteinntekt,22.5
EFA Eiendom AS,4451,Aktiv,18,16,2025-10-23,13.5,405.0,360.0,45.0,88.88888888888889,2000.0,2405.0,0.0,360.0,14.96881496881497,2025-07-22,Renteinntekt,22.5
BFM 8 AS,4481,Aktiv,26,0,2026-05-12,14.0,606.6666666666666,396.60999999999996,210.05666666666667,65.37527472527472,2000.0,2606.6666666666665,0.0,396.60999999999996,15.215217391304348,2024-02-09,Tildeling,-2000.0
BFM 8 AS,4481,Aktiv,26,1,2026-05-12,14.0,606.6666666666666,396.60999999999996,210.05666666666667,65.37527472527472,2000.0,2606.6666666666665,0.0,396.60999999999996,15.215217391304348,2024-03-12,Renteinntekt,23.33
BFM 8 AS,4481,Aktiv,26,2,2026-05-12,14.0,606.6666666666666,396.60999999999996,210.05666666666667,65.37527472527472,2000.0,2606.6666666666665,0.0,396.60999999999996,15.215217391304348,2024-04-09,Renteinntekt,23.33
BFM 8 AS,4481,Aktiv,26,3,2026-05-12,14.0,606.6666666666666,396.60999999999996,210.05666666666667,65.37527472527472,2000.0,2606.6666666666665,0.0,396.60999999999996,15.215217391304348,2024-05-10,Renteinntekt,23.33
