company,status,siste_transaksjonsdato,antall_laan,gjennomsnittlig_rente,forventet_renteinntekt,Tildeling,Tilbakebetalt,forsinkelses_rente,Renteinntekt,Netto_renteinntekt
AEKO Eiendomsutvikling AS,Aktiv,2025-07-28,1,13.0,433.33333333333337,-2000.0,0.0,0.0,368.39000000000004,368.39000000000004
Accrington AS,Aktiv,2025-07-28,2,12.0,745.0,-3500.0,0.0,0.0,273.08,273.08
Atlas Eiendom AS,Aktiv,2025-07-28,6,13.5,1650.0,-7500.0,0.0,0.0,1212.48,1212.48
BFM 8 AS,Aktiv,2025-07-11,6,13.666666666666666,1689.5833333333335,-7500.0,0.0,0.0,841.15,841.15
BFM 8 AS,Venter,2025-07-11,1,13.0,54.16666666666667,-500.0,0.0,0.0,0.0,0.0
BM Prosjekt og Utvikling AS,Aktiv,2025-07-30,2,12.5,369.5833333333333,-1000.0,0.0,0.0,67.28999999999999,67.28999999999999
Bjerget 33 Eiendom AS,Aktiv,2025-07-22,1,13.0,568.75,-2500.0,0.0,0.0,167.45,167.45
EBH Entreprenør AS,Tilbakebetalt,2024-10-22,1,13.0,238.33333333333331,-2000.0,2000.0,0.0,74.68,74.68
EFA Eiendom AS,Aktiv,2025-07-22,3,13.0,811.6666666666666,-5500.0,0.0,0.0,677.86,677.86
G. Foss Eiendom AS,Tilbakebetalt,2024-03-27,1,15.0,75.0,-2000.0,2000.0,0.0,75.0,75.0
Habitat Bolig AS,Aktiv,2025-07-14,4,12.5,1369.7916666666665,-4500.0,0.0,0.08,327.79,327.87
Konventveien 35 AS,Venter,2025-07-15,1,13.0,130.0,-500.0,0.0,0.0,0.0,0.0
Kvitsand Hytter AS,Aktiv,2025-06-10,2,16.0,1200.0,-4000.0,0.0,0.11000000000000001,822.5200000000001,822.6300000000001
Lager For Alle AS,Tilbakebetalt,2024-09-12,1,15.0,275.0,-2000.0,2000.0,0.0,181.23,181.23
LeilighetsExperten AS,Tilbakebetalt,2024-07-10,1,15.5,387.5,-2000.0,2000.0,0.0,77.5,77.5
Palmeglass AS,Aktiv,2025-07-18,2,12.0,790.0,-5000.0,0.0,0.0,238.2,238.2
Palmeglass AS,Venter,2025-07-28,1,12.0,1045.0,-9500.0,0.0,0.0,0.0,0.0
Quadrat Eiendom AS,Aktiv,2025-07-10,1,15.0,375.0,-2000.0,0.0,0.0,294.73,294.73
Streng AS,Aktiv,2025-07-31,1,13.0,520.0,-2000.0,0.0,0.0,325.05,325.05
Stubbbengkroken 73 AS,Venter,2025-07-31,1,12.0,60.0,-500.0,0.0,0.0,0.0,0.0
TBGEiendom AS,Aktiv,2025-08-04,2,12.0,460.0,-2000.0,0.0,0.0,133.93,133.93
Thorrud Bolig AS,Aktiv,2025-07-10,1,14.0,140.0,-1000.0,0.0,0.0,105.03,105.03
Torggata 5 Skien AS,Aktiv,2025-07-29,3,13.0,671.6666666666667,-3000.0,0.0,0.0,181.45,181.45
VE Gruppen,Aktiv,2025-08-04,1,13.0,146.25,-500.0,0.0,0.0,10.84,10.84
